,file_date,report,acc-no,cik,id,interactive_data
0,2021-10-29,10-K,0000320193-21-000105,320193,1,True
1,2020-10-30,10-K,0000320193-20-000096,320193,2,True
2,2019-10-31,10-K,0000320193-19-000119,320193,3,True
3,2018-11-05,10-K,0000320193-18-000145,320193,4,True
4,2017-11-03,10-K,0000320193-17-000070,320193,5,True
5,2016-10-26,10-K,0001628280-16-020309,320193,6,True
6,2015-10-28,10-K,0001193125-15-356351,320193,7,True
7,2014-10-27,10-K,0001193125-14-383437,320193,8,True
8,2013-10-30,10-K,0001193125-13-416534,320193,9,True
9,2012-10-31,10-K,0001193125-12-444068,320193,10,True
10,2011-10-26,10-K,0001193125-11-282113,320193,11,True
11,2010-10-27,10-K,0001193125-10-238044,320193,12,True
12,2010-01-25,10-K/A,0001193125-10-012091,320193,13,True
13,2009-10-27,10-K,0001193125-09-214859,320193,14,True
14,2021-07-29,10-K,0001564590-21-039151,789019,1,True
15,2020-07-30,10-K,0001564590-20-034944,789019,2,True
16,2019-08-01,10-K,0001564590-19-027952,789019,3,True
17,2018-08-03,10-K,0001564590-18-019062,789019,4,True
18,2017-08-02,10-K,0001564590-17-014900,789019,5,True
19,2016-07-28,10-K,0001193125-16-662209,789019,6,True
20,2015-07-31,10-K,0001193125-15-272806,789019,7,True
21,2014-07-31,10-K,0001193125-14-289961,789019,8,True
22,2013-07-30,10-K,0001193125-13-310206,789019,9,True
23,2012-07-26,10-K,0001193125-12-316848,789019,10,True
24,2011-07-28,10-K,0001193125-11-200680,789019,11,True
25,2010-07-30,10-K,0001193125-10-171791,789019,12,True
26,2022-02-02,10-K,0001652044-22-000019,1652044,1,True
27,2021-02-03,10-K,0001652044-21-000010,1652044,2,True
28,2020-02-04,10-K,0001652044-20-000008,1652044,3,True
29,2019-02-05,10-K,0001652044-19-000004,1652044,5,True
30,2018-02-06,10-K,0001652044-18-000007,1652044,6,True
31,2017-02-03,10-K,0001652044-17-000008,1652044,7,True
32,2016-02-11,10-K,0001652044-16-000012,1652044,9,True
33,2022-02-04,10-K,0001018724-22-000005,1018724,1,True
34,2021-02-03,10-K,0001018724-21-000004,1018724,2,True
35,2020-01-31,10-K,0001018724-20-000004,1018724,3,True
36,2019-02-01,10-K,0001018724-19-000004,1018724,4,True
37,2018-02-02,10-K,0001018724-18-000005,1018724,5,True
38,2017-02-10,10-K,0001018724-17-000011,1018724,6,True
39,2016-01-29,10-K,0001018724-16-000172,1018724,7,True
40,2015-01-30,10-K,0001018724-15-000006,1018724,8,True
41,2014-01-31,10-K,0001018724-14-000006,1018724,9,True
42,2013-01-30,10-K,0001193125-13-028520,1018724,10,True
43,2012-02-01,10-K,0001193125-12-032846,1018724,11,True
44,2011-01-28,10-K,0001193125-11-016253,1018724,13,True
45,2010-01-29,10-K,0001193125-10-016098,1018724,14,True
46,2022-05-02,10-K/A,0001564590-22-016871,1318605,1,True
47,2022-02-07,10-K,0000950170-22-000796,1318605,2,True
48,2021-04-30,10-K/A,0001564590-21-022604,1318605,3,True
49,2021-02-08,10-K,0001564590-21-004599,1318605,4,True
50,2020-04-28,10-K/A,0001564590-20-018984,1318605,5,True
51,2020-02-13,10-K,0001564590-20-004475,1318605,6,True
52,2019-02-19,10-K,0001564590-19-003165,1318605,7,True
53,2018-02-23,10-K,0001564590-18-002956,1318605,8,True
54,2017-03-01,10-K,0001564590-17-003118,1318605,9,True
55,2016-02-24,10-K,0001564590-16-013195,1318605,10,True
56,2015-02-26,10-K,0001564590-15-001031,1318605,11,True
57,2014-02-26,10-K,0001193125-14-069681,1318605,12,True
58,2013-03-07,10-K,0001193125-13-096241,1318605,13,True
59,2012-03-28,10-K/A,0001193125-12-137560,1318605,14,True
