,start,end,val,accn,fy,fp,form,filed,frame,category,cik
1,2007-01-01,2007-12-31,9000000,0001193125-10-016098,2009,FY,10-K,2010-01-29,CY2007,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,0001018724
2,2008-01-01,2008-12-31,-24000000,0001193125-11-016253,2010,FY,10-K,2011-01-28,CY2008,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,0001018724
3,2008-01-01,2008-12-31,-24000000,0001193125-10-016098,2009,FY,10-K,2010-01-29,,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,0001018724
4,2009-01-01,2009-12-31,103000000,0001193125-11-016253,2010,FY,10-K,2011-01-28,CY2009,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,0001018724
5,2009-01-01,2009-12-31,103000000,0001193125-10-016098,2009,FY,10-K,2010-01-29,,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,0001018724
6,2010-01-01,2010-12-31,106000000,0001193125-11-016253,2010,FY,10-K,2011-01-28,CY2010,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,0001018724
7,2007-01-01,2007-12-31,257000000,0001193125-10-016098,2009,FY,10-K,2010-01-29,CY2007,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
8,2008-01-01,2008-12-31,154000000,0001193125-11-016253,2010,FY,10-K,2011-01-28,CY2008,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
9,2008-01-01,2008-12-31,154000000,0001193125-10-016098,2009,FY,10-K,2010-01-29,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
10,2009-01-01,2009-12-31,103000000,0001193125-12-032846,2011,FY,10-K,2012-02-01,CY2009,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
11,2009-01-01,2009-12-31,103000000,0001193125-11-016253,2010,FY,10-K,2011-01-28,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
12,2009-01-01,2009-12-31,103000000,0001193125-10-016098,2009,FY,10-K,2010-01-29,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
13,2010-01-01,2010-12-31,145000000,0001193125-13-028520,2012,FY,10-K,2013-01-30,CY2010,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
14,2010-01-01,2010-12-31,145000000,0001193125-12-032846,2011,FY,10-K,2012-02-01,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
15,2010-01-01,2010-12-31,145000000,0001193125-11-016253,2010,FY,10-K,2011-01-28,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
16,2011-01-01,2011-12-31,62000000,0001193125-13-028520,2012,FY,10-K,2013-01-30,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
17,2011-01-01,2011-12-31,62000000,0001193125-12-032846,2011,FY,10-K,2012-02-01,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
18,2011-01-01,2011-12-31,62000000,0001018724-14-000006,2013,FY,10-K,2014-01-31,CY2011,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
19,2012-01-01,2012-12-31,429000000,0001193125-13-028520,2012,FY,10-K,2013-01-30,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
20,2012-01-01,2012-12-31,429000000,0001018724-15-000006,2014,FY,10-K,2015-01-30,CY2012,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
21,2012-01-01,2012-12-31,429000000,0001018724-14-000006,2013,FY,10-K,2014-01-31,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
22,2013-01-01,2013-12-31,73000000,0001018724-16-000172,2015,FY,10-K,2016-01-29,CY2013,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
23,2013-01-01,2013-12-31,73000000,0001018724-15-000006,2014,FY,10-K,2015-01-30,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
24,2013-01-01,2013-12-31,73000000,0001018724-14-000006,2013,FY,10-K,2014-01-31,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
25,2014-01-01,2014-12-31,6000000,0001018724-17-000011,2016,FY,10-K,2017-02-10,CY2014,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
26,2014-01-01,2014-12-31,6000000,0001018724-16-000172,2015,FY,10-K,2016-01-29,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
27,2014-01-01,2014-12-31,6000000,0001018724-15-000006,2014,FY,10-K,2015-01-30,,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,0001018724
