,start,end,val,accn,fy,fp,form,filed,frame,category,cik
42,2019-01-01,2019-12-31,11000000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,AdvertisingExpense,0001018724
44,2020-01-01,2020-12-31,10900000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,AdvertisingExpense,0001018724
45,2021-01-01,2021-12-31,16900000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,AdvertisingExpense,0001018724
60,2019-01-01,2019-12-31,6864000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,AllocatedShareBasedCompensationExpense,0001018724
62,2020-01-01,2020-12-31,9208000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,AllocatedShareBasedCompensationExpense,0001018724
63,2021-01-01,2021-12-31,12757000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,AllocatedShareBasedCompensationExpense,0001018724
87,2019-01-01,2019-12-31,793000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,AllowanceForDoubtfulAccountsReceivableWriteOffs,0001018724
89,2020-01-01,2020-12-31,1000000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,AllowanceForDoubtfulAccountsReceivableWriteOffs,0001018724
90,2021-01-01,2021-12-31,1100000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,AllowanceForDoubtfulAccountsReceivableWriteOffs,0001018724
120,2019-01-01,2019-12-31,565000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,AmortizationOfIntangibleAssets,0001018724
122,2020-01-01,2020-12-31,509000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,AmortizationOfIntangibleAssets,0001018724
123,2021-01-01,2021-12-31,512000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,AmortizationOfIntangibleAssets,0001018724
326,2019-01-01,2019-12-31,4237000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0001018724
328,2020-01-01,2020-12-31,5967000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0001018724
329,2021-01-01,2021-12-31,-5900000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0001018724
365,2019-01-01,2019-12-31,11637000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,ComprehensiveIncomeNetOfTax,0001018724
367,2020-01-01,2020-12-31,22137000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,ComprehensiveIncomeNetOfTax,0001018724
368,2021-01-01,2021-12-31,32168000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,ComprehensiveIncomeNetOfTax,0001018724
372,2021-01-01,2021-12-31,9300000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,ContractWithCustomerLiabilityRevenueRecognized,0001018724
408,2019-01-01,2019-12-31,165536000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,CostOfGoodsAndServicesSold,0001018724
410,2020-01-01,2020-12-31,233307000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,CostOfGoodsAndServicesSold,0001018724
411,2021-01-01,2021-12-31,272344000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,CostOfGoodsAndServicesSold,0001018724
444,2019-01-01,2019-12-31,265981000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,CostsAndExpenses,0001018724
446,2020-01-01,2020-12-31,363165000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,CostsAndExpenses,0001018724
447,2021-01-01,2021-12-31,444943000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,CostsAndExpenses,0001018724
541,2019-01-01,2019-12-31,11000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,DebtSecuritiesAvailableForSaleRealizedGain,0001018724
543,2020-01-01,2020-12-31,92000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,DebtSecuritiesAvailableForSaleRealizedGain,0001018724
544,2021-01-01,2021-12-31,85000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,DebtSecuritiesAvailableForSaleRealizedGain,0001018724
553,2019-01-01,2019-12-31,7000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,DebtSecuritiesAvailableForSaleRealizedLoss,0001018724
555,2020-01-01,2020-12-31,56000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,DebtSecuritiesAvailableForSaleRealizedLoss,0001018724
556,2021-01-01,2021-12-31,38000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,DebtSecuritiesAvailableForSaleRealizedLoss,0001018724
634,2019-01-01,2019-12-31,796000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,DeferredIncomeTaxExpenseBenefit,0001018724
636,2020-01-01,2020-12-31,-554000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,DeferredIncomeTaxExpenseBenefit,0001018724
637,2021-01-01,2021-12-31,-310000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,DeferredIncomeTaxExpenseBenefit,0001018724
669,2019-01-01,2019-12-31,15150000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,Depreciation,0001018724
671,2020-01-01,2020-12-31,16239000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,Depreciation,0001018724
672,2021-01-01,2021-12-31,22909000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,Depreciation,0001018724
729,2019-01-01,2019-12-31,21789000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,DepreciationDepletionAndAmortization,0001018724
731,2020-01-01,2020-12-31,25251000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,DepreciationDepletionAndAmortization,0001018724
732,2021-01-01,2021-12-31,34296000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,DepreciationDepletionAndAmortization,0001018724
740,2019-01-01,2019-12-31,-1400000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,0001018724
742,2020-01-01,2020-12-31,-1800000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,0001018724
743,2021-01-01,2021-12-31,-1900000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,0001018724
752,2019-01-01,2019-12-31,-72000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017TransitionTaxOnAccumulatedForeignEarningsAmount,0001018724
754,2020-01-01,2020-12-31,-372000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017TransitionTaxOnAccumulatedForeignEarningsAmount,0001018724
755,2021-01-01,2021-12-31,-301000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017TransitionTaxOnAccumulatedForeignEarningsAmount,0001018724
791,2019-01-01,2019-12-31,70000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,EffectOfExchangeRateOnCashAndCashEquivalents,0001018724
793,2020-01-01,2020-12-31,618000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,EffectOfExchangeRateOnCashAndCashEquivalents,0001018724
794,2021-01-01,2021-12-31,-364000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,EffectOfExchangeRateOnCashAndCashEquivalents,0001018724
818,2019-01-01,2019-12-31,1400000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,0001018724
820,2020-01-01,2020-12-31,1900000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,0001018724
821,2021-01-01,2021-12-31,2700000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,0001018724
844,2019-01-01,2019-12-31,4000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,EquitySecuritiesFvNiUnrealizedGainLoss,0001018724
846,2020-01-01,2020-12-31,448000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,EquitySecuritiesFvNiUnrealizedGainLoss,0001018724
847,2021-01-01,2021-12-31,11600000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,EquitySecuritiesFvNiUnrealizedGainLoss,0001018724
848,2019-01-01,2019-12-31,328000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount,0001018724
849,2020-01-01,2020-12-31,342000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount,0001018724
850,2021-01-01,2021-12-31,1866000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount,0001018724
899,2019-01-01,2019-12-31,-11000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,FairValueAdjustmentOfWarrants,0001018724
